a,b,statistic,p_value,median_abs_err_diff,a_better_frac,n
OLS (raw),"EC2 (refit C_Rd,c)",26208.5,0.2387056433354492,-0.013687775924159928,0.5416666666666666,336
Random Forest (raw),"EC2 (refit C_Rd,c)",27077.0,0.48967195699773025,0.0025189479449242436,0.49404761904761907,336
"Power-law (d,rho,fck)","EC2 (refit C_Rd,c)",20708.0,1.998291222447485e-05,-0.02274235137890246,0.6101190476190477,336
Power-law (+geometry),"EC2 (refit C_Rd,c)",23045.5,0.0031440957807010385,-0.017643768994140996,0.5922619047619048,336
EC2 free-exponent,"EC2 (refit C_Rd,c)",26677.5,0.36017582923316493,-0.002003950909447938,0.5238095238095238,336
EC2 x correction (grey-box),"EC2 (refit C_Rd,c)",21656.5,0.0001893727464633079,-0.005983481131011104,0.5863095238095238,336
Symbolic regression,"EC2 (refit C_Rd,c)",27117.5,0.5040680830679695,-0.004337292621042876,0.5238095238095238,336
OLS + mechanics feats,"EC2 (refit C_Rd,c)",21567.0,0.00015494070722628692,-0.02099483546597458,0.5952380952380952,336
Random Forest + mechanics feats,"EC2 (refit C_Rd,c)",27666.0,0.7186324644391725,-0.001836861161876202,0.5119047619047619,336
