feature,importance,std
rho_l,0.1679795051115288,0.010465574354806115
fcm_cyl,0.15050283054304064,0.011084198502348732
d,0.04478929572531574,0.004057601635042419
u0_perim,0.02405933532322041,0.0018163354357883731
col_area,0.017668684709430452,0.00173148369449477
